,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
101,Karnataka,6,5,1,5,0.48178166151046753,0.4931861343732284,-11.98675971096667
102,Karnataka,6,5,1,8,0.2478281855583191,0.26730116551281063,-2.814879606868195
103,Karnataka,6,5,1,16,0.10960648953914642,0.11551035548956252,0.2876048870066905
104,Karnataka,6,5,1,32,0.06283148378133774,0.06892261077342834,0.7463688754085394
105,Karnataka,6,5,2,1,0.3833364248275757,0.41014327982422205,-7.98152941356599
106,Karnataka,6,5,2,5,0.8164891004562378,0.8285423882391529,-35.652920599561156
107,Karnataka,6,5,2,8,0.44131502509117126,0.4579002888585079,-10.194917923072284
108,Karnataka,6,5,2,16,0.33002975583076477,0.34829835850558555,-5.4771201781589625
109,Karnataka,6,5,2,32,0.0865221694111824,0.09939867061631728,0.4724783586511552
110,Karnataka,6,7,1,1,0.7165286540985107,0.7248473894702598,-43.142007565784006
111,Karnataka,6,7,1,5,0.08001761883497238,0.08414343807969049,0.40516111247906017
112,Karnataka,6,7,1,8,0.2977586090564728,0.31470222558018546,-7.320674808492715
113,Karnataka,6,7,1,16,0.042924486100673676,0.047429586483460275,0.8110018493654034
114,Karnataka,6,7,1,32,0.06670854985713959,0.07158061724797543,0.5695231643287274
115,Karnataka,6,7,2,1,0.7312853336334229,0.7393724561761997,-44.92883310828474
116,Karnataka,6,7,2,5,0.32554924488067627,0.3339872527416797,-8.371706707554143
117,Karnataka,6,7,2,8,0.6440175771713257,0.6539050395047413,-34.924296146322575
118,Karnataka,6,7,2,16,0.22951926290988922,0.23852122058171146,-3.779835406372688
119,Karnataka,6,7,2,32,0.0935734212398529,0.10447783237855923,0.08292004586130475
120,Maharashtra,1,5,1,1,1.1947230100631714,1.1996544161520242,-120.88633933693923
121,Maharashtra,1,5,1,5,0.6072890162467957,0.6175284832010755,-31.296594629167224
122,Maharashtra,1,5,1,8,0.6679114699363708,0.674790665167544,-37.56389026298369
123,Maharashtra,1,5,1,16,0.4875529706478119,0.4938022374635484,-19.651369008354102
124,Maharashtra,1,5,1,32,0.04834633693099022,0.05683009954994155,0.7264733737346143
125,Maharashtra,1,5,2,1,0.29808560013771057,0.317273529018154,-7.525315499572498
126,Maharashtra,1,5,2,5,0.6769852042198181,0.6842023048071022,-38.64712994812503
127,Maharashtra,1,5,2,8,0.6658099293708801,0.6736488214295476,-37.43349516715068
128,Maharashtra,1,5,2,16,0.4268549084663391,0.43837458182870515,-15.275467469668566
129,Maharashtra,1,5,2,32,0.05548030883073807,0.06572760539245999,0.6341202532748653
130,Maharashtra,1,7,1,1,0.5769186615943909,0.5848921033197383,-35.929128697650825
131,Maharashtra,1,7,1,5,0.7092478275299072,0.7152220345249746,-54.22037104922983
132,Maharashtra,1,7,1,8,0.7369145750999451,0.7429408616729388,-58.58350256362816
133,Maharashtra,1,7,1,16,0.2881943881511688,0.2981340038491378,-8.594903220601326
134,Maharashtra,1,7,1,32,0.07530149072408676,0.08701229170194255,0.18270520085676667
135,Maharashtra,1,7,2,1,0.7494401335716248,0.7555026215432693,-60.61542645107514
136,Maharashtra,1,7,2,5,0.4113653600215912,0.420166015625,-18.05721145568797
137,Maharashtra,1,7,2,8,0.6789394617080688,0.684784859682547,-49.62043182564361
138,Maharashtra,1,7,2,16,0.29038363695144653,0.30260980565807705,-8.885155676588711
139,Maharashtra,1,7,2,32,0.06193303316831589,0.07311077090029543,0.42299413504217975
140,Maharashtra,2,5,1,1,0.5216532945632935,0.5328505192054237,-23.04659022043006
141,Maharashtra,2,5,1,5,0.7880322933197021,0.7963488094398297,-52.70929229654827
142,Maharashtra,2,5,1,8,0.568414568901062,0.5729100371468497,-26.798131838546897
143,Maharashtra,2,5,1,16,0.08265895396471024,0.10343754270644906,0.09385207075067781
144,Maharashtra,2,5,1,32,0.046522729098796844,0.05908286472394718,0.7043581970050663
145,Maharashtra,2,5,2,1,0.5590763092041016,0.569538270255569,-26.471893211345716
146,Maharashtra,2,5,2,5,0.695207953453064,0.7028720400681943,-40.840348621286985
147,Maharashtra,2,5,2,8,0.07248902320861816,0.09289293623985341,0.2691838709302633
148,Maharashtra,2,5,2,16,0.0880790576338768,0.10591946212697759,0.04984542225696509
149,Maharashtra,2,5,2,32,0.05096585676074028,0.06577019198138392,0.633645955450318
150,Maharashtra,2,7,1,1,0.45952415466308594,0.46949559360382326,-22.7947194294777
151,Maharashtra,2,7,1,5,0.7318904399871826,0.738891268808393,-57.935718797232035
152,Maharashtra,2,7,1,8,0.1152208223938942,0.13078185532542597,-0.8463436111197535
153,Maharashtra,2,7,1,16,0.037264950573444366,0.0474373444836094,0.757082797604222
154,Maharashtra,2,7,1,32,0.08894595503807068,0.10578224602854397,-0.20793371714168352
155,Maharashtra,2,7,2,1,0.7556335926055908,0.7617386644156598,-61.63679687320916
156,Maharashtra,2,7,2,5,0.6597680449485779,0.6667786643207012,-46.9933384833039
157,Maharashtra,2,7,2,8,0.7424587607383728,0.7485732574619948,-59.49035850892797
158,Maharashtra,2,7,2,16,0.131688192486763,0.14384824878288308,-1.2337095606226844
