,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
101,Tamil-Nadu,2,5,2,0.08068238943815231,0.09170961798383123,0.6044050735093216
102,Tamil-Nadu,2,7,1,0.059311363846063614,0.07682941969594648,0.6523266560490133
103,Tamil-Nadu,2,7,2,0.030382733792066574,0.034880380284053256,0.9283396843253607
104,Tamil-Nadu,3,5,1,0.04661219194531441,0.06127025719949182,0.8234286139023881
105,Tamil-Nadu,3,5,2,0.03692568838596344,0.04806393576314154,0.8913425350004528
106,Tamil-Nadu,3,7,1,0.05623512715101242,0.07192399814168669,0.6953059856667525
107,Tamil-Nadu,3,7,2,0.04017892852425575,0.04973686967723799,0.8542954414252144
108,Tamil-Nadu,4,5,1,0.048746004700660706,0.05482294773236165,0.858633765943346
109,Tamil-Nadu,4,5,2,0.02635335549712181,0.03427333095080507,0.944749837621804
110,Tamil-Nadu,4,7,1,0.04644066467881203,0.054097410758841,0.8276269985158367
111,Tamil-Nadu,4,7,2,0.09922805428504944,0.10422353880773698,0.360194584726782
112,Tamil-Nadu,5,5,1,0.09956043213605881,0.11478433986163841,0.3802932494767167
113,Tamil-Nadu,5,5,2,0.03956723213195801,0.04895587659862283,0.8872723139371224
114,Tamil-Nadu,5,7,1,0.09576080739498138,0.11439348789264885,0.229240593387819
115,Tamil-Nadu,5,7,2,0.09596280008554459,0.1009828689125861,0.3993635583265821
116,Tamil-Nadu,6,5,1,0.07685528695583344,0.08740920300979743,0.6406354365731552
117,Tamil-Nadu,6,5,2,0.06593195348978043,0.0773631470131811,0.7184930002048966
118,Tamil-Nadu,6,7,1,0.05141874775290489,0.06403187886390534,0.7585046605079737
119,Tamil-Nadu,6,7,2,0.12403972446918488,0.12663685945422856,0.05542480748025569
