,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
1772,Tamil-Nadu,1,15,2,8,0.4060916006565094,0.46056517418250553,-3.3935090276630238
1773,Tamil-Nadu,1,15,2,16,0.38629359006881714,0.441071729579953,-3.0294693337845997
1774,Tamil-Nadu,1,15,2,32,0.3771345317363739,0.42977002825177646,-2.8256181166467087
1775,Tamil-Nadu,1,15,2,64,0.36719173192977905,0.4195023148430757,-2.6450044467350327
1776,Tamil-Nadu,1,15,3,1,0.41755735874176025,0.47194717752049353,-3.6133470866720954
1777,Tamil-Nadu,1,15,3,5,0.404646635055542,0.45974916089963025,-3.3779548118827973
1778,Tamil-Nadu,1,15,3,8,0.39056396484375,0.44854510009958753,-3.167173571124663
1779,Tamil-Nadu,1,15,3,16,0.3935607671737671,0.450046506438879,-3.1951173196244413
1780,Tamil-Nadu,1,15,3,32,0.4100445806980133,0.46513695645771763,-3.4811662096590616
1781,Tamil-Nadu,1,15,3,64,0.4019147455692291,0.45805217145824206,-3.345695075075504
1782,Tamil-Nadu,1,30,1,1,0.3359045088291168,0.37357287247674914,-3.090180447234334
1783,Tamil-Nadu,1,30,1,5,0.2394014298915863,0.2552974587472398,-0.910225902469677
1784,Tamil-Nadu,1,30,1,8,0.23310787975788116,0.2436480015308532,-0.7398727243985523
1785,Tamil-Nadu,1,30,1,16,0.1961953341960907,0.20404134893408848,-0.22019198203488588
1786,Tamil-Nadu,1,30,1,32,0.23363184928894043,0.24382540380150533,-0.7424071926018403
1787,Tamil-Nadu,1,30,1,64,0.22313033044338226,0.23144420993719364,-0.5699449720119649
1788,Tamil-Nadu,1,30,2,1,0.43420514464378357,0.4718190336827362,-5.5244317932719795
1789,Tamil-Nadu,1,30,2,5,0.4140951931476593,0.4493195462132698,-4.917011381105245
1790,Tamil-Nadu,1,30,2,8,0.4100600481033325,0.4430875575141849,-4.754013711157879
1791,Tamil-Nadu,1,30,2,16,0.4284723401069641,0.46308531067289727,-5.285122557265322
1792,Tamil-Nadu,1,30,2,32,0.4061650037765503,0.44168554601565024,-4.717658414341928
1793,Tamil-Nadu,1,30,2,64,0.3836416006088257,0.4161241953845738,-4.075019367171844
1794,Tamil-Nadu,1,30,3,1,0.433188259601593,0.4710148614018942,-5.5022106207417805
1795,Tamil-Nadu,1,30,3,5,0.4601912796497345,0.4958306313155252,-6.205407033217588
1796,Tamil-Nadu,1,30,3,8,0.4468936622142792,0.4835274880513813,-5.852264645149175
1797,Tamil-Nadu,1,30,3,16,0.44479796290397644,0.481188119278715,-5.7861212963268125
1798,Tamil-Nadu,1,30,3,32,0.4494028389453888,0.4855430424877344,-5.9095094250846545
1799,Tamil-Nadu,1,30,3,64,0.4538756310939789,0.48957999884369435,-6.024883287242441
1800,Tamil-Nadu,2,5,1,1,0.4050489664077759,0.46654115639557864,-3.0283205654124217
1801,Tamil-Nadu,2,5,1,5,0.14481593668460846,0.17907739806986692,0.4064932769974673
1802,Tamil-Nadu,2,5,1,8,0.20170436799526215,0.24765083656050363,-0.13507273782474583
1803,Tamil-Nadu,2,5,1,16,0.209761381149292,0.25388394771342904,-0.19292884036588642
1804,Tamil-Nadu,2,5,1,32,0.20934456586837769,0.2507632495682762,-0.16378254116476731
1805,Tamil-Nadu,2,5,1,64,0.15774740278720856,0.19306495677537028,0.310155861534436
1806,Tamil-Nadu,2,5,2,1,0.39452865719795227,0.45676647569875134,-2.861291098595514
1807,Tamil-Nadu,2,5,2,5,0.36948585510253906,0.4329768423138494,-2.469552025603226
1808,Tamil-Nadu,2,5,2,8,0.3918924033641815,0.4548627482895188,-2.8291717428007894
1809,Tamil-Nadu,2,5,2,16,0.3831893801689148,0.4451683547307987,-2.667690046839227
1810,Tamil-Nadu,2,5,2,32,0.3746996819972992,0.4381812615669407,-2.5534621825133135
1811,Tamil-Nadu,2,5,2,64,0.3746722936630249,0.4354559970352962,-2.5093979097743393
