,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
43,Maharashtra,6,7,2,0.15234479308128354,0.17187119067912485,-0.2196189982652108
44,Maharashtra,6,15,1,0.16393837332725525,0.17950854512292733,-0.9728622559342112
45,Maharashtra,6,15,2,0.1477019339799881,0.1663387687846707,-0.6940002596556833
46,Maharashtra,6,30,1,0.2364375591278076,0.2375068274570696,-8.787418500774825
47,Maharashtra,6,30,2,0.1196627914905548,0.13973342203606354,-2.387790172338025
48,Delhi,1,5,1,0.15468761324882507,0.170740195991249,0.21362957805345284
49,Delhi,1,5,2,0.07276678085327147,0.08014054889158434,0.8267551748739188
50,Delhi,1,7,1,0.1566857397556305,0.17069067178514885,0.1560871627642183
51,Delhi,1,7,2,0.13521794974803925,0.14621412142793555,0.38076328858153374
52,Delhi,1,15,1,0.17777183651924133,0.185150294872078,-0.5127419961040127
53,Delhi,1,15,2,0.12135455757379532,0.12463252620823155,0.3145452389290203
54,Delhi,1,30,1,0.18902696669101715,0.1901467691438674,-7.3810942447910355
55,Delhi,1,30,2,0.07049054652452469,0.07293890467784972,-0.2332219423295128
56,Delhi,2,5,1,0.13931776583194733,0.15716672433934345,0.3336892484340129
57,Delhi,2,5,2,0.10620985180139543,0.11554023996380355,0.6399007859480603
58,Delhi,2,7,1,0.14816264808177948,0.1627117306690003,0.23314046922208764
59,Delhi,2,7,2,0.11550182849168775,0.12050713070594656,0.5793667911531136
60,Delhi,2,15,1,0.21831580996513367,0.22422397554269669,-1.2186055290166102
61,Delhi,2,15,2,0.21495644748210907,0.2217706250105692,-1.17032176318939
62,Delhi,2,30,1,0.20418089628219604,0.20606672785144187,-8.843249043600217
63,Delhi,2,30,2,0.14908520877361298,0.15006812927661384,-4.220351611842381
64,Delhi,3,5,1,0.13387207686901093,0.1494549277775658,0.39747354549697295
65,Delhi,3,5,2,0.16087518632411954,0.17418325237895935,0.1815947191566779
66,Delhi,3,7,1,0.1438540369272232,0.158566458002746,0.27171612293829994
67,Delhi,3,7,2,0.19436554610729215,0.20721938923492805,-0.2437664686547425
68,Delhi,3,15,1,0.1329820156097412,0.14198930204836244,0.11033332439699972
69,Delhi,3,15,2,0.17887377738952634,0.18612436473525384,-0.5287008626327105
70,Delhi,3,30,1,0.15177075564861298,0.15506021987210364,-4.57344287963795
71,Delhi,3,30,2,0.21809495985507965,0.21965296890385014,-10.183995485792131
72,Delhi,4,5,1,0.16092561185359955,0.17911059607434246,0.13463715450279826
73,Delhi,4,5,2,0.12216336280107498,0.1352085078649271,0.5068674772213229
74,Delhi,4,7,1,0.1842053085565567,0.2017250418475887,-0.17868469336417214
75,Delhi,4,7,2,0.08749541640281677,0.09889912297874404,0.7166893559486882
76,Delhi,4,15,1,0.11417850852012636,0.12864055127202328,0.2697495561803899
77,Delhi,4,15,2,0.12826290726661682,0.13420717660213385,0.2051823146180977
78,Delhi,4,30,1,0.19636812806129456,0.1997292932912719,-8.247117808127943
79,Delhi,4,30,2,0.26864677667617803,0.2724031366544734,-16.200733560149654
80,Delhi,5,5,1,0.1718263030052185,0.18753500452718627,0.0513186648768994
81,Delhi,5,5,2,0.10326576977968216,0.1115338323996404,0.664441005004712
82,Delhi,5,7,1,0.1886158138513565,0.2034169080306448,-0.19853882142467105
83,Delhi,5,7,2,0.06685765087604523,0.07769401403447776,0.8251550277093277
84,Delhi,5,15,1,0.16375719010829926,0.17669070534822948,-0.3776644424162989
85,Delhi,5,15,2,0.2193368226289749,0.22915802021765644,-1.3173207492634726
86,Delhi,5,30,1,0.1723208874464035,0.17626016333035988,-6.201635247594523
87,Delhi,5,30,2,0.2461165487766266,0.25052367438108475,-13.548569556371744
88,Delhi,6,5,1,0.15323090553283691,0.17037823112954528,0.21696018122334204
89,Delhi,6,5,2,0.11941564083099365,0.12832542536984784,0.5557974328090171
90,Delhi,6,7,1,0.15478652715682986,0.16768003757164598,0.18559426200251491
91,Delhi,6,7,2,0.09574739634990692,0.1051549038935486,0.6797146370517204
92,Delhi,6,15,1,0.14946042001247406,0.16593269633041025,-0.21501043880354365
93,Delhi,6,15,2,0.10623804479837418,0.11369173721923255,0.4296074234361714
94,Delhi,6,30,1,0.1539345681667328,0.16116969524542307,-5.02129039856486
95,Delhi,6,30,2,0.176421120762825,0.1822760041638116,-6.701613948204772
96,Uttar-Pradesh,1,5,1,0.1341692954301834,0.15618872633182013,0.5470301979030927
97,Uttar-Pradesh,1,5,2,0.056290939450263984,0.06239365679909624,0.927714565884494
