,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
147,Maharashtra,1,5,2,4,0.027723049744963646,0.031526571032975806,0.915822453568511
148,Maharashtra,1,5,3,1,0.014495777897536755,0.016938212943314344,0.9757015861612993
149,Maharashtra,1,5,3,2,0.10514003783464432,0.11012541968517892,-0.027112170023663396
150,Maharashtra,1,5,3,3,0.028213603422045708,0.03349302808895996,0.9049938903081302
151,Maharashtra,1,5,3,4,0.08211798965930939,0.08267426796025418,0.4211267929241461
152,Maharashtra,1,5,4,1,0.08374697715044022,0.09360773000448162,0.2578936050909103
153,Maharashtra,1,5,4,2,0.020671585574746132,0.024198239768887287,0.9504081547127241
154,Maharashtra,1,5,4,3,0.03988730162382126,0.050890843259626214,0.7806578804105035
155,Maharashtra,1,5,4,4,0.1207457035779953,0.12900792793514096,-0.4095340774162073
156,Maharashtra,1,7,2,1,0.040501877665519714,0.042926942741477694,0.8010804673973844
157,Maharashtra,1,7,2,2,0.05531860142946243,0.05786105248429841,0.6385982467453876
158,Maharashtra,1,7,2,3,0.13985691964626312,0.143136355645077,-1.2116554528456338
159,Maharashtra,1,7,2,4,0.015750307589769363,0.020717187117291334,0.9536682060394731
160,Maharashtra,1,7,3,1,0.16089679300785065,0.16219431593617145,-1.8398068432051775
161,Maharashtra,1,7,3,2,0.2565949261188507,0.25974477239677546,-6.283014400746225
162,Maharashtra,1,7,3,3,0.020890075713396072,0.023084828274280038,0.9424731162825368
163,Maharashtra,1,7,3,4,0.022865314036607742,0.028237825948240116,0.9139244004072561
164,Maharashtra,1,7,4,1,0.05956508219242096,0.06266464957159731,0.5761006062183618
165,Maharashtra,1,7,4,2,0.188437357544899,0.19702618296715466,-3.1904958779330492
166,Maharashtra,1,7,4,3,0.024040043354034424,0.026425102657604907,0.9246209095485056
167,Maharashtra,1,7,4,4,0.1737259179353714,0.17863101944147577,-2.4445401623782907
168,Maharashtra,2,5,2,1,0.09568174183368683,0.09580001500218926,0.222726318557666
169,Maharashtra,2,5,2,2,0.05331631004810333,0.058479537515511375,0.7103652980051407
170,Maharashtra,2,5,2,3,0.043935492634773254,0.04808038622562985,0.8042153533190294
171,Maharashtra,2,5,2,4,0.018384281545877457,0.02218077301371822,0.9583326282357835
172,Maharashtra,2,5,3,1,0.11291031539440155,0.1198940919011659,-0.2174139269086528
173,Maharashtra,2,5,3,2,0.08392131328582764,0.08416826608801567,0.4000162682968331
174,Maharashtra,2,5,3,3,0.1852370649576187,0.18879676460579226,-2.018782450128306
175,Maharashtra,2,5,3,4,0.05936213955283165,0.05974173699549947,0.6977276607662649
176,Maharashtra,2,5,4,1,0.07382696121931076,0.07784044179621076,0.48683935863972205
177,Maharashtra,2,5,4,2,0.026451552286744118,0.03182220367526755,0.9142363447514683
178,Maharashtra,2,5,4,3,0.04194830730557442,0.046963255966710485,0.8132076129140015
179,Maharashtra,2,5,4,4,0.11228843033313751,0.11981952816612655,-0.21590025352538422
