,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
617,Uttar-Pradesh,1,30,3,2,0.06810465455055237,0.06851174199465886,0.40039719020948217
618,Uttar-Pradesh,1,30,3,3,0.032069869339466095,0.03286773447731361,0.862001870879692
619,Uttar-Pradesh,1,30,3,4,0.1501661092042923,0.15257188636772398,-1.9736009888841166
620,Uttar-Pradesh,1,30,4,1,0.0721573755145073,0.07255742083662982,0.32749212735888245
621,Uttar-Pradesh,1,30,4,2,0.11282490193843842,0.11629508682346142,-0.727652602190187
622,Uttar-Pradesh,1,30,4,3,0.14120398461818695,0.14205045908001437,-1.5776202318650285
623,Uttar-Pradesh,1,30,4,4,0.140044704079628,0.1422071922729905,-1.5833115530290076
624,Uttar-Pradesh,2,5,2,1,0.18330903351306915,0.19839284837529497,0.2691606163086062
625,Uttar-Pradesh,2,5,2,2,0.13937395811080933,0.15122187007051016,0.5753813293362278
626,Uttar-Pradesh,2,5,2,3,0.148060142993927,0.16068601217660522,0.5205690396099499
627,Uttar-Pradesh,2,5,2,4,0.18592938780784607,0.1991059975282619,0.26389698357663016
628,Uttar-Pradesh,2,5,3,1,0.19145144522190094,0.21157222195802472,0.16883507579120227
629,Uttar-Pradesh,2,5,3,2,0.09622707217931747,0.10576032583036228,0.7923100664006777
630,Uttar-Pradesh,2,5,3,3,0.13156038522720337,0.14550787010447752,0.6068639177559392
631,Uttar-Pradesh,2,5,3,4,0.12743140757083893,0.1375598037776999,0.6486394501501718
632,Uttar-Pradesh,2,5,4,1,0.2369316667318344,0.252932662651798,-0.18789961207824168
633,Uttar-Pradesh,2,5,4,2,0.18141421675682068,0.19260869586323837,0.31115473804293015
634,Uttar-Pradesh,2,5,4,3,0.1120004653930664,0.12445280888020992,0.7124063566667587
635,Uttar-Pradesh,2,5,4,4,0.21585941314697266,0.23691059874214157,-0.04217071682726581
636,Uttar-Pradesh,2,7,2,1,0.14495567977428436,0.15865733441133836,0.5015844513995782
637,Uttar-Pradesh,2,7,2,2,0.09978310763835907,0.10508433681690063,0.7813511455075004
638,Uttar-Pradesh,2,7,2,3,0.1308477818965912,0.1399768089773013,0.6120431616193597
639,Uttar-Pradesh,2,7,2,4,0.18640975654125214,0.19390325445586354,0.2555398340565673
640,Uttar-Pradesh,2,7,3,1,0.197221040725708,0.2113477461585282,0.11556385312093709
641,Uttar-Pradesh,2,7,3,2,0.07235138863325119,0.07893841602453888,0.8766190801254164
642,Uttar-Pradesh,2,7,3,3,0.2519795894622803,0.2699920474753296,-0.4433551243143208
643,Uttar-Pradesh,2,7,3,4,0.2200656533241272,0.23055168857804081,-0.05246547485944908
644,Uttar-Pradesh,2,7,4,1,0.16104187071323395,0.17576178866844003,0.3883257407627574
645,Uttar-Pradesh,2,7,4,2,0.1139349415898323,0.12459805804914165,0.6926071397337035
646,Uttar-Pradesh,2,7,4,3,0.13961204886436462,0.15357516907872515,0.533003873817236
647,Uttar-Pradesh,2,7,4,4,0.13950124382972717,0.15298613192352328,0.5365793601139974
648,Uttar-Pradesh,2,15,2,1,0.13054268062114716,0.13464620385283038,0.47506262432387003
649,Uttar-Pradesh,2,15,2,2,0.07270795851945877,0.0739701178417802,0.8415720187777365
650,Uttar-Pradesh,2,15,2,3,0.05549556761980057,0.05725017945602976,0.9050985319310048
651,Uttar-Pradesh,2,15,2,4,0.11595200002193451,0.11702301482166245,0.6034830429820864
652,Uttar-Pradesh,2,15,3,1,0.16598555445671082,0.17338515750521488,0.1295515675208524
653,Uttar-Pradesh,2,15,3,2,0.10236106067895889,0.10424173501268226,0.6853682680502255
654,Uttar-Pradesh,2,15,3,3,0.22379367053508759,0.23598070854254014,-0.6123978535794683
655,Uttar-Pradesh,2,15,3,4,0.07622727006673813,0.08115950666414509,0.8092792367110395
656,Uttar-Pradesh,2,15,4,1,0.2231738567352295,0.2333264978222177,-0.5763307701778135
657,Uttar-Pradesh,2,15,4,2,0.026508131995797157,0.029855121259589917,0.9741918491039491
658,Uttar-Pradesh,2,15,4,3,0.22104083001613617,0.23228462558532723,-0.5622846393199219
