,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
8,Delaware,US,2020-11-12 05:30:39,39.3185,-75.5071,27342,760,14380.0,12238.0,10.0,2807.867203963179,603328.0,,2.6479408967888234,84000010.0,USA,61958.33898151912,,2020-11-11
9,Diamond Princess,US,2020-11-12 05:30:39,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,,2020-11-11
10,District of Columbia,US,2020-11-12 05:30:39,38.8974,-77.0268,18379,657,14036.0,3686.0,11.0,2604.1836403593907,567072.0,,3.5747320311224766,84000011.0,USA,80350.37952586543,,2020-11-11
11,Florida,US,2020-11-12 05:30:39,27.7663,-81.6868,858012,17300,,840712.0,12.0,3994.8901506709017,10714303.0,,2.0162888164734287,84000012.0,USA,30110.16011603085,,2020-11-11
12,Georgia,US,2020-11-12 05:30:39,33.0406,-83.6431,413894,8806,,405561.0,13.0,3898.2528999739393,3786046.0,,2.1275978873817936,84000013.0,USA,35658.80345918214,,2020-11-11
13,Grand Princess,US,2020-11-12 05:30:39,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999.0,USA,,,2020-11-11
14,Guam,US,2020-11-12 05:30:39,13.4443,144.7937,5654,91,3667.0,1896.0,66.0,3442.753715847993,74549.0,,1.6094800141492749,316.0,GUM,45393.32273837142,,2020-11-11
15,Hawaii,US,2020-11-12 05:30:39,21.0943,-157.4983,16437,222,11958.0,4257.0,15.0,1160.9100257650412,574852.0,,1.3506114254425992,84000015.0,USA,40600.562762735615,,2020-11-11
16,Idaho,US,2020-11-12 05:30:39,44.2405,-114.4788,77121,733,33330.0,43058.0,16.0,4315.5117469146335,413838.0,,0.9504544806213612,84000016.0,USA,23157.41173376458,,2020-11-11
17,Illinois,US,2020-11-12 05:30:39,40.3495,-88.9861,523840,10798,,513042.0,17.0,4133.896777740153,8664483.0,,2.0613164324984727,84000017.0,USA,68375.98952826117,,2020-11-11
