,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
2440,Puerto Rico,US,2020-05-24 02:32:48,18.2208,-66.5901,3100,127,,2973.0,72.0,105.67912816764664,3100.0,,4.096774193548387,630.0,PRI,105.67912816764664,,2020-05-23,,
2441,Rhode Island,US,2020-05-24 02:32:48,41.6809,-71.5118,13952,749,1106.0,12249.0,44.0,1317.0203547232718,130132.0,1557.0,4.278956422018348,84000044.0,USA,12284.008945014966,11.159690366972477,2020-05-23,,
2442,South Carolina,US,2020-05-24 02:32:48,33.8569,-80.945,9895,425,5743.0,3727.0,45.0,192.18391233228337,158910.0,1534.0,4.295098534613441,84000045.0,USA,3086.4017694515564,15.502779181404751,2020-05-23,,
2443,South Dakota,US,2020-05-24 02:32:48,44.2998,-99.4388,4464,50,3336.0,1078.0,46.0,504.6012079230528,33528.0,358.0,1.1200716845878136,84000046.0,USA,3789.934878862929,8.019713261648745,2020-05-23,,
2444,Tennessee,US,2020-05-24 02:32:48,35.7478,-86.6923,19785,329,12745.0,6711.0,47.0,289.7129286792224,373758.0,1573.0,1.6628759160980542,84000047.0,USA,5472.960565948386,7.950467525903464,2020-05-23,,
2445,Texas,US,2020-05-24 02:32:48,31.0545,-97.5635,54932,1554,32277.0,21021.0,48.0,188.9095902966356,762706.0,,2.698262012560245,84000048.0,USA,2630.3942963485056,,2020-05-23,,
2446,Utah,US,2020-05-24 02:32:48,40.15,-111.8624,8260,97,4898.0,3265.0,49.0,257.64529666327513,190779.0,1053.0,1.1743341404358354,84000049.0,USA,5950.764170959195,12.748184019370461,2020-05-23,,
2447,Vermont,US,2020-05-24 02:32:48,44.0459,-72.7107,954,54,837.0,63.0,50.0,152.88731051348663,27424.0,,5.660377358490566,84000050.0,USA,4394.949269939053,,2020-05-23,,
2448,Virgin Islands,US,2020-05-24 02:32:48,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1412.0,,8.695652173913043,850.0,VIR,1316.3291941678785,,2020-05-23,,
2449,Virginia,US,2020-05-24 02:32:48,37.7693,-78.17,35749,1159,5047.0,29543.0,51.0,418.8263185870713,232470.0,6431.0,3.242048728635766,84000051.0,USA,2723.560219361002,17.989314386416407,2020-05-23,,
